evidence_id,area,status,artifact_or_commit,environment,executed_at,evidence_path,reviewed_by,notes
EV-01,Prompt Builder,PENDING,,,,,,"Teste físico contextual em celular real"
EV-02,Gestão Fácil,PENDING,,,,,,"GF-QA-10 no Microsoft Excel"
EV-03,Gestão Fácil,PENDING,,,,,,"GF-QA-10 no LibreOffice Calc"
EV-04,Gestão Fácil,PENDING,,,,,,"GF-QA-10 no Google Sheets"
EV-05,Identidade visual,PENDING,,,,,,"Inspeção visual humana das artes renderizadas"
EV-06,Comercial,PENDING,,,,,,"Revisão humana de páginas, copies e fatos"
EV-07,Método JPN,PENDING,,,,,,"PDF candidato + inspeção página a página"
EV-08,Prompt Pack,PENDING,,,,,,"PDF candidato + inspeção página a página"
EV-09,JPN Business,PENDING,,,,,,"Candidato renderizado + inspeção página a página"
EV-10,Gestão Fácil,PENDING,,,,,,"Manual/PDF candidato + inspeção visual"
EV-11,Pro Kit,PENDING,,,,,,"Staging apenas com artefatos aprovados"
EV-12,Freeze,PENDING,,,,,,"Lista final de arquivos congelada"
EV-13,Integridade,PENDING,,,,,,"SHA-256 somente após freeze"
EV-14,Manifesto,PENDING,,,,,,"Manifesto final com versões, caminhos e hashes"
EV-15,CI,PENDING,,,,,,"Pipeline verde no mesmo head congelado"
EV-16,Editorial,PENDING,,,,,,"Revisão ortográfica/editorial humana final"
