id,dia,etapa,estado,evidencia,observacao
FW-01,1,Definir um problema pequeno,PENDING,,
FW-02,1,Registrar objetivo contexto e condição de parada,PENDING,,
FW-03,2,Escolher Prompt Builder ou um dos 18 templates,PENDING,,
FW-04,2,Revisar dados e estados de confiança,PENDING,,
FW-05,3,Executar um teste pequeno,PENDING,,
FW-06,3,Registrar correções e lacunas,PENDING,,
FW-07,4,Decidir se existe repetição suficiente,PENDING,,
FW-08,4,Selecionar no máximo um dos 12 playbooks quando aplicável,PENDING,,
FW-09,5,Decidir se fatos operacionais precisam de registro,PENDING,,
FW-10,5,Preservar GF-QA-10 como pendente e REPOR como alerta,PENDING,,
FW-11,6,Revisar valor e complexidade de cada etapa,PENDING,,
FW-12,6,Remover componente que não agregou valor,PENDING,,
FW-13,7,Classificar componentes em MANTER AJUSTAR PAUSAR ou DESCARTAR_NESTE_CASO,PENDING,,
FW-14,7,Definir um próximo passo pequeno sem ação externa implícita,PENDING,,
FW-15,7,Confirmar que QA e release pendentes continuam visíveis,PENDING,,
FW-16,7,Confirmar ausência de gasto publicação aceite legal ou credencial,PENDING,,
