id,area,item,status,evidence_required,notes
JB-COMP-01,front-matter,Capa presente e legível,PENDING,screenshot-or-page-reference,
JB-COMP-02,front-matter,Escopo público e guardrails presentes,PENDING,page-reference,
JB-COMP-03,front-matter,Sumário corresponde à ordem real,PENDING,page-reference,
JB-COMP-04,front-matter,Como usar presente e legível,PENDING,page-reference,
JB-COMP-05,front-matter,Fundamentos do Método JPN aplicados a negócios presentes,PENDING,page-reference,
JB-COMP-06,playbook,JB-01 completo e legível,PENDING,page-reference,
JB-COMP-07,playbook,JB-02 completo e legível,PENDING,page-reference,
JB-COMP-08,playbook,JB-03 completo e legível,PENDING,page-reference,
JB-COMP-09,playbook,JB-04 completo e legível,PENDING,page-reference,
JB-COMP-10,playbook,JB-05 completo e legível,PENDING,page-reference,
JB-COMP-11,playbook,JB-06 completo e legível,PENDING,page-reference,
JB-COMP-12,playbook,JB-07 completo e legível,PENDING,page-reference,
JB-COMP-13,playbook,JB-08 completo e legível,PENDING,page-reference,
JB-COMP-14,playbook,JB-09 completo e legível,PENDING,page-reference,
JB-COMP-15,playbook,JB-10 completo e legível,PENDING,page-reference,
JB-COMP-16,playbook,JB-11 completo e legível,PENDING,page-reference,
JB-COMP-17,playbook,JB-12 completo e legível,PENDING,page-reference,
JB-COMP-18,back-matter,Referência cruzada PP-* presente e conferida,PENDING,page-reference-and-cross-check,
JB-COMP-19,back-matter,Checklist final de aplicação e revisão humana presente,PENDING,page-reference,
JB-COMP-20,back-matter,Avisos de uso e limites presentes,PENDING,page-reference,
JB-COMP-21,visual,Sem overflow cortes ou sobreposição,PENDING,page-by-page-review,
JB-COMP-22,visual,Sem páginas vazias acidentais,PENDING,page-by-page-review,
JB-COMP-23,visual,Tipografia e contraste permanecem legíveis,PENDING,page-by-page-review,
JB-COMP-24,visual,Boxes Atenção Exemplo Checklist e Conexão JPN são distinguíveis,PENDING,page-by-page-review,
JB-COMP-25,guardrail,Nenhum claim proibido ou condição comercial inventada,PENDING,editorial-review,
JB-COMP-26,release,Evidência visual versionada registrada antes de promover diagramação,PENDING,evidence-path-and-reviewer,
