check_id,area,question,status,evidence
SD-C01,necessidade,O dado é necessário para a finalidade declarada?,PENDING,
SD-C02,minimizacao,O conjunto foi reduzido ao menor dado suficiente?,PENDING,
SD-C03,ficcao,Exemplos compartilháveis usam dados fictícios por padrão?,PENDING,
SD-C04,pessoal,Nome telefone e-mail documento e IDs pessoais foram sanitizados?,PENDING,
SD-C05,credenciais,Não há senha token API key cookie chave privada ou segredo?,PENDING,
SD-C06,financeiro,Não há dado financeiro real no artefato candidato?,PENDING,
SD-C07,privado,Não há URL privada ou conteúdo de conta conectada persistido sem autorização?,PENDING,
SD-C08,confianca,confirmed inferred unknown e conflicting permanecem separados?,PENDING,
SD-C09,qa,O material sanitizado não é tratado como evidência automática de QA ou release?,PENDING,
SD-C10,prompt-pack,Os exemplos do Prompt Pack preservam os 18 templates sem exigir segredo?,PENDING,
SD-C11,business,Os exemplos do JPN Business preservam os 12 playbooks com dados sanitizados?,PENDING,
SD-C12,prompt-builder,O Prompt Builder mantém orientação para não inserir segredos e QA físico móvel pendente?,PENDING,
SD-C13,gestao-facil,A Gestão Fácil mantém GF-QA-10 pendente e REPOR apenas como alerta?,PENDING,
SD-C14,pro-kit,O Pro Kit permanece EM PREPARAÇÃO e sem empacotar dados sensíveis?,PENDING,
SD-C15,compartilhamento,O arquivo continua marcado como candidato quando revisão ou release estão pendentes?,PENDING,
SD-C16,parada,O processo para diante de credencial dado financeiro real ou identidade verificável desnecessária?,PENDING,
