id,case_id,check,status,evidence
CB-QA-01,CJ-01,Pedido original preservado,PENDING,
CB-QA-02,CJ-01,Lacunas e fatos distinguíveis,PENDING,
CB-QA-03,CJ-01,Saída respeita critérios declarados,PENDING,
CB-QA-04,CJ-02,Estado conflicting preservado,PENDING,
CB-QA-05,CJ-02,Conclusão não excede evidência,PENDING,
CB-QA-06,CJ-02,Próxima verificação está explícita,PENDING,
CB-QA-07,CJ-03,REPOR permanece apenas alerta,PENDING,
CB-QA-08,CJ-03,Nenhuma ação financeira automática,PENDING,
CB-QA-09,CJ-03,Revisão humana permanece obrigatória,PENDING,
CB-QA-10,CJ-04,Exemplo permanece sanitizado,PENDING,
CB-QA-11,CJ-04,Placeholders preservam utilidade,PENDING,
CB-QA-12,CJ-04,Nenhuma publicação é inferida,PENDING,
CB-QA-13,CJ-05,QA físico permanece PENDING,PENDING,
CB-QA-14,CJ-05,Evidência automática e física estão separadas,PENDING,
CB-QA-15,CJ-05,Release não é promovido sem evidência,PENDING,
